xcl,ycl,xvcl,yvcl,xlt,ylt,xvlt,yvlt,xtt,ytt,xvtt,yvtt
20.235352,41.055774,-0.000000,0.0000000.130301,0.103514,20.163329,40.995030,-0.000000185,0.000000074,20.308558,41.160810,-0.000000,0.000000
20.050240,41.130683,-0.000000,0.0000000.189792,0.018573,20.036673,41.005178,-0.000000185,0.000000073,20.130696,41.255204,-0.000000,0.000000
19.864773,41.204863,-0.000000,0.0000000.167301,0.110378,19.803802,41.026604,-0.000000186,0.000000072,19.921292,41.358738,-0.000000,0.000000
19.678953,41.278311,-0.000000,0.0000000.072646,0.155609,19.623241,41.117225,-0.000000186,0.000000072,19.708218,41.382217,-0.000000,0.000000
19.492782,41.351025,-0.000000,0.0000000.074892,0.097867,19.425393,41.238654,-0.000000186,0.000000071,19.540771,41.468429,-0.000000,0.000000
19.306266,41.423003,-0.000000,0.0000000.131478,0.040122,19.250705,41.249142,-0.000000187,0.000000070,19.401286,41.608726,-0.000000,0.000000
19.119406,41.494245,-0.000000,0.0000000.075072,0.125259,19.109797,41.297778,-0.000000187,0.000000070,19.171703,41.694772,-0.000000,0.000000
18.932205,41.564748,-0.000000,0.0000000.146855,0.071695,18.874732,41.435177,-0.000000187,0.000000069,18.964568,41.704218,-0.000000,0.000000
18.744668,41.634511,-0.000000,0.0000000.070581,0.133812,18.694985,41.515304,-0.000000187,0.000000068,18.799896,41.762070,-0.000000,0.000000
18.556796,41.703532,-0.000000,0.0000000.077667,0.149355,18.467423,41.586032,-0.000000188,0.000000068,18.622976,41.841146,-0.000000,0.000000
18.368593,41.771810,-0.000000,0.0000000.177590,0.099411,18.333189,41.672447,-0.000000188,0.000000067,18.439994,41.967589,-0.000000,0.000000
18.180063,41.839342,-0.000000,0.0000000.116727,0.120708,18.106412,41.698841,-0.000000189,0.000000066,18.212259,41.942836,-0.000000,0.000000
17.991208,41.906127,-0.000000,0.0000000.079878,0.098329,17.918803,41.773043,-0.000000189,0.000000065,18.015153,42.034560,-0.000000,0.000000
17.802032,41.972164,-0.000000,0.0000000.098426,0.095171,17.754041,41.843100,-0.000000189,0.000000065,17.890718,42.109525,-0.000000,0.000000
17.612538,42.037451,-0.000000,0.0000000.082382,0.033043,17.556281,41.894687,-0.000000189,0.000000064,17.644763,42.195655,-0.000000,0.000000
17.422729,42.101987,-0.000000,0.0000000.078989,0.090109,17.355604,41.958672,-0.000000190,0.000000063,17.463486,42.229253,-0.000000,0.000000
17.232608,42.165769,-0.000000,0.0000000.045839,0.028648,17.223501,42.006298,-0.000000190,0.000000063,17.302437,42.304175,-0.000000,0.000000
17.042179,42.228797,-0.000000,0.0000000.070311,0.084569,17.014691,42.086202,-0.000000190,0.000000062,17.089966,42.356964,-0.000000,0.000000
16.851445,42.291069,-0.000000,0.0000000.087629,0.153879,16.777532,42.157943,-0.000000191,0.000000061,16.865922,42.391029,-0.000000,0.000000
16.660409,42.352583,-0.000000,0.0000000.131117,0.109628,16.656712,42.182384,-0.000000191,0.000000060,16.715211,42.490163,-0.000000,0.000000
16.469074,42.413338,-0.000000,0.0000000.097376,0.066910,16.399690,42.263131,-0.000000191,0.000000059,16.499062,42.545618,-0.000000,0.000000
16.277444,42.473333,-0.000000,0.0000000.068255,0.172798,16.226062,42.354663,-0.000000191,0.000000059,16.359173,42.593433,-0.000000,0.000000
16.085522,42.532565,-0.000000,0.0000000.084977,0.170596,16.003119,42.424288,-0.000000192,0.000000058,16.167885,42.660232,-0.000000,0.000000
15.893311,42.591034,-0.000000,0.0000000.098081,0.104367,15.850922,42.504174,-0.000000192,0.000000057,15.912357,42.713495,-0.000000,0.000000
15.700815,42.648738,-0.000000,0.0000000.168812,0.030478,15.629848,42.519308,-0.000000192,0.000000056,15.760855,42.786655,-0.000000,0.000000
15.508037,42.705675,-0.000000,0.0000000.135188,0.184102,15.428196,42.556419,-0.000000193,0.000000055,15.517700,42.816678,-0.000000,0.000000
15.314979,42.761845,-0.000000,0.0000000.086431,0.119391,15.249472,42.606220,-0.000000193,0.000000055,15.363770,42.928897,-0.000000,0.000000
15.121647,42.817245,-0.000000,0.0000000.092411,0.096772,15.034376,42.660401,-0.000000193,0.000000054,15.141992,42.957563,-0.000000,0.000000
14.928042,42.871875,-0.000000,0.0000000.075696,0.127565,14.874632,42.760451,-0.000000193,0.000000053,14.951461,43.070808,-0.000000,0.000000
